0.24_0.2_2_3,0.4_1.7_3_3,0.72_1.2_3_3,1.2_0.9_3_3,0.56_0.6_3_3,0.35_1.5_3_3,1.33_1.4_3_3,0.21_0.8_3_3,0.38_1.3_3_3,0.28_0.9_3_3,0.33_1.4_3_3,,0.3_1.4_3_3,0.6_0.6_3_3,0.9_0.9_3_3,,1.1_1.5_3_3,,,,,,,
0.48_0.2_2_3,0.5_2.5_4_4,0.72_1.8_4_4,1.2_2.4_5_5,0.56_1.3_5_5,0.45_2.3_5_5,1.33_3.3_5_5,,0.17_1.8_4_4,0.42_1.3_4_4,0.28_1.9_4_4,,0.3_2.5_5_5,1.2_0.4_4_4,0.8_1.8_4_4,,1.8_2.4_4_4,,,,,,,
0.24_0.8_2_3,0.2_2.0_3_3,0.6_1.4_4_4,0.3_2.2_3_3,0.35_0.9_3_3,0.35_1.5_3_3,1.33_1.8_3_3,0.36_0.8_3_3,0.3_1.6_3_3,0.49_0.9_4_4,0.35_1.5_3_3,0.4_1_4_4,0.3_1.6_3_3,0.4_0.8_3_3,0.7_1.2_3_3,0.8_0.8_4_4,1.2_1.8_3_3,,,,,,,
0.6_0.25_2_3,,,,,0.375_0_2_0,0.97_1.7_3_3,0.35_0.9_3_3,0.3_1.6_3_3,0.42_0.8_3_3,0.33_1.6_3_3,,0.2_1.5_3_3,1.0_0.2_3_3,0.9_1_3_3,,1.2_1.8_3_3,,,,,,,
0.48_1.4_3_5,0.9_2.4_4_4,0.72_1.8_4_4,1.0_2.6_5_5,0.56_1.3_5_5,0.425_2.3_5_5,1.37_3.4_5_5,,0.3_2.3_4_4,0.7_1.6_5_5,0.42_2.4_5_5,,0.42_2.3_5_5,1.0_0.8_5_5,1.0_1.8_5_5,0.8_1.1_5_5,1.8_2.8_5_5,,,,,,,
0.48_1.1_3_5,0.4_2.2_4_4,,,,0.45_1.5_4_4,1.37_1.8_3_3,0.42_0.8_3_3,0.28_1.8_4_4,0.56_0.7_3_3,0.38_1.5_3_3,0.4_0.9_4_4,0.45_1.8_4_4,1.0_,1.0_,,1.2_2_3_3,,,,,,,
0.24_0.9_2_4,0.6_2.6_4_4,0.84_2.2_5_5,1.1_2.6_5_5,0.63_1.3_5_5,0.325_2.2_4_4,1.43_3.1_5_5,0.49_1.4_5_5,0.28_1.7_4_4,0.42_1.4_5_5,0.45_2.4_5_5,0.5_1.5_5_5,0.45_2.3_5_5,0.8_1_5_5,1.0_1.6_4_4,,1.8_2.9_5_5,,,,,,,
0.24_1.0_2_4,0.9_2.6_4_4,0.72_1.8_4_4,0.8_2.8_4_4,0.56_1_4_4,0.5_2.2_5_5,1.1_2.2_4_4,0.56_1.4_5_5,0.3_1.7_4_4,0.7_1.2_5_5,0.38_2.2_4_4,0.5_1.5_5_5,0.33_2.3_4_4,,0.9_1.7_4_4,,1.8_2.4_4_4,,,,,,,
0.36_0.25_2_3,1.0_2.5_4_4,0.84_1.7_4_4,1.2_2.3_4_4,0.56_1.1_4_4,0.4_2.4_5_5,1.2_2.1_4_4,0.49_1_4_4,0.4_1.6_4_4,,,,,0.8_0.7_4_4,0.9_1.1_4_4,,1.7_2.6_4_4,,,,,,,
0.36_0.45_2_3,0.8_2.4_4_4,0.72_1.4_4_4,1.3_2.3_5_5,0.595_1.2_4_4,0.425_2.4_5_5,1.13_2.2_4_4,0.21_1_3_3,0.23_1.8_4_4,0.56_1.3_5_5,0.35_2.3_4_4,0.4_1.4_4_4,0.38_2.4_5_5,1.2_0.5_4_4,0.8_2_5_5,,1.8_2.5_4_4,,,,,,,
0.48_1.0_3_4,0.7_1.5_3_3,,,,,,,,,,,,,,,,,,,,,,
0.24_2.6_2_3,0.4_2.4_4_4,0.48_1.6_4_4,0.6_2.2_4_4,0.42_0.9_4_4,,0.8_1.8_3_3,0.35_0.9_3_3,,0.56_0.8_4_4,0.35_1.5_3_3,,0.2_1.6_3_3,1.2_0.5_4_4,0.9_1.1_4_4,,1.1_2.2_4_4,,,,,,,
-,,0.72_1.2_3_3,1.1_2.0_4_4,0.49_1.2_4_4,0.425_2.3_5_5,1.3_1.7_3_3,,,,,,,,,,,,,,,,,
0.48_0.4_2_3,0.3_2.3_4_4,0.72_1.6_4_4,1.3_2.1_4_4,0.56_1.1_4_4,0.425_2.3_5_5,1.53_2_4_4,0.35_1_4_4,0.17_1.5_3_3,0.42_0.8_3_3,0.23_1.7_3_3,,,,0.7_1.3_4_4,,1.2_2.1_4_4,,,,,,,
-,0.7_1.2_3_3,0.84_1.2_3_3,0.6_1.5_3_3,0.56_0.8_4_4,0.375_2.2_4_4,0.93_1.7_3_3,,0.55_1.4_4_4,0.49_0.9_4_4,0.33_1.4_3_3,,0.35_1.5_3_3,1.0_0.2_3_3,0.9_1.1_4_4,,1.2_2_3_3,,,,,,,
